"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Germany","DEU","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","-7671908600","-15170416300","-16571060400","-6551056900","12292350100","-4192024500","-5682752400","-5240337800","-10899808500","-21533591300","-17072521300","6615443200","17511557500","9880855800","19427966000","29612483700","17527076900","7157867000","8100351800","14029385500","17505768800","19882850000","6321110000","8954640000","8542630000","7626530000","15981670000","32202890000","25822040000","7224150000","26379390000","60389770000","109237830000","86457360000","122242550000","135968390000","161863040000","199988260000","200348650000","127590030000","159349450000","182961140000","217662310000","202225500000","221217070000","229135000000","211540290000","218116350000","203625660000","",
"Djibouti","DJI","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-229257907700","-9100269099.99992","22715502000","-169274072700","-270029580800","-276635170000","",
"Dominica","DMA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","13806662900","10509822800","15792516900","7767288000","191970700","8109453000","15297376400","866477200","11542923700","19600194000","-4090164500","1574135800","2512394800","11953557000","38420518900","59469730300","61413395200","70188554000","67732329500","62337219600","44054209500","63726196400","83668730100","85352368400","104012335800","117346259800","119013069500","129345071200","123287982600","111324451100","122634955900","108640933600","97417037000","150725221700","164281139200","175212932100","171144961500","167989298200","147909982900","136086368100","123759811400","110167615500","106550236400","121724803600","144731855400","153120244700","141370916800","144913362700","142448011600","138230316000","148362482800","159156149700","150319230800","",
"Dominican Republic","DOM","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","External balance on goods and services (constant LCU)","NE.RSB.GNFS.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
